title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms
Stereotypical Hate Crimes and Criminal Justice Processing: A Multi-Dataset Comparison of Bias Crime Arrest Patterns by Offender and Victim Race,https://doi.org/10.1080/07418825.2017.1399211,"Many hate crimes are not reported and even fewer hate crimes result in an arrest. This study investigates patterns of victim reporting and arrest for hate crimes in two parts. First, using data from the National Crime Victimization Survey, we find that, controlling for offense severity, hate crimes are less likely than non-bias crimes to be reported to the police and that the police are less likely to take further action for hate crimes, compared to non-hate crimes. Second, we use data from the Pennsylvania Human Relations Commission and the National Incident-Based Reporting System to compare differences between types of hate crimes in the likelihood of crime clearance. We find that those hate crimes most likely to result in arrest are those that fit the profile of a ""stereotypical"" hate crime: violent incidents, incidents committed by hate groups, and incidents involving white offenders and black victims.",2017,11/13/2017,61,Brendan Lantz; Andrew S. Gladfelter; R. Barry Ruback,,Crime Patterns and Interventions; Criminal Justice and Corrections Analysis; Sexual Assault and Victimization Studies,Justice Quarterly,article,Brendan Lantz,https://openalex.org/A5045067028,National Crime Victimization Survey; Disclosure Avoidance Population Tables,National Crime Victimization Survey
Reporting Racist Hate Crime Victimization to the Police in the United States and the United Kingdom: A Cross-National Comparison,https://doi.org/10.1093/bjc/azaa008,"Abstract Hate is a global phenomenon as evidenced by recent increases in hate crimes in both the United States and the United Kingdom; unfortunately, these crimes are also substantially underreported in both nations. Following this, this research presents an examination of racially motivated hate crimes and victim reporting to the police in both nations using data from the National Crime Victimization Survey and the Crime Survey of England and Wales from 2003 to 2015. Results indicate that, overall, victim reporting has been increasing in the United Kingdom and decreasing in the United States. Disaggregating by victim and offender race, however, reveals divergent trends such that anti-black hate crime victim reporting is increasing in the United States and decreasing in the United Kingdom. Policy and research implications are discussed.",2020,1/20/2020,31,Wesley Myers; Brendan Lantz,Florida State University; Florida State University,Policing Practices and Perceptions; Crime Patterns and Interventions; Criminal Justice and Corrections Analysis,The British Journal of Criminology,article,Brendan Lantz,https://openalex.org/A5045067028,National Crime Victimization Survey; Disclosure Avoidance Population Tables,National Crime Victimization Survey
Severity matters: The moderating effect of offense severity in predicting racial differences in reporting of bias and nonbias victimization to the police.,https://doi.org/10.1037/lhb0000477,"Previous research has noted contradictory findings regarding race and police notification, such that Black people indicate higher levels of distrust in the police yet report victimization to the police at rates similar to or higher than others. We investigated the role of offense severity in accounting for these discrepancies.We hypothesized that severity would moderate racial differences in reporting, such that Black victims would be less likely to report less severe victimization but more likely to report more severe victimization. We expected that these differences would be less pronounced for bias-motivated crime, regardless of other markers of severity.We used data from the 2003-2016 National Crime Victimization Survey, including information on 21,510 victimization incidents, 1,105 of which were hate crimes. We conducted logistic regression analyses in which reporting was regressed on victim race, offense severity, hate crime status, and control variables. We also examined interactive effects to disentangle whether severity moderated racial differences in notification.We observed a three-way interaction of Black victims, offense severity, and hate crime status. Specifically, for nonbias incidents, Black victims were more likely than White victims to report severe incidents, but there was no racial difference in reporting nonsevere incidents. Additionally, for nonsevere incidents, Black victims were more likely than White victims to report hate crimes, but there was no racial difference in reporting nonhate crimes.Offense severity plays an important role in the victim decision-making process. These patterns are different, however, by race and for hate crime victims, suggesting that people perceive hate crimes as important to report, regardless of their severity. (PsycInfo Database Record (c) 2022 APA, all rights reserved).",2022,1/24/2022,16,Brendan Lantz; Marin R. Wenger; Zachary T. Malcom,Florida State University; Florida State University; Florida State University,Crime Patterns and Interventions; Gun Ownership and Violence Research,Law and Human Behavior,article,Brendan Lantz,https://openalex.org/A5045067028,National Crime Victimization Survey; Disclosure Avoidance Population Tables,National Crime Victimization Survey
Co-offending and police notification: the differential reporting of young groups to the police,https://doi.org/10.1080/1068316x.2022.2118748,"Despite a wealth of research on the decision to notify police following victimization, there has been relative inattention to the role of a basic feature of crime: the tendency for individuals to offend in groups. Following this, the current research examines the influence of co-offending on the decision to notify police using information from the National Crime Victimization Survey. Results indicate that the co-offending is significantly and positively related to the likelihood of notification. Findings further indicate that this relationship is moderated by co-offender characteristics, such that young co-offenders and, to a lesser extent, male co-offenders are more likely than their counterparts to be reported to police. These results have important implications for understanding the invocation of both formal social control and disparities in these processes, indicating that co-offending not only has a direct effect on notification, but that it also changes the effect of offender characteristics on this decision.",2022,9/12/2022,2,Brendan Lantz; Marin R. Wenger,Florida State University; Florida State University,Crime Patterns and Interventions; Policing Practices and Perceptions; Criminal Justice and Corrections Analysis,Psychology Crime and Law,article,Brendan Lantz,https://openalex.org/A5045067028,National Crime Victimization Survey; Disclosure Avoidance Population Tables,National Crime Victimization Survey
Business-Level Expectations and Uncertainty,https://doi.org/10.3386/w28259,"The Census Bureau's 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants.First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes.The first moment of the distribution provides a measure of business' expectations for future outcomes, while the second moment provides a measure of business' subjective uncertainty over those outcomes.This subjective uncertainty measure correlates positively with financial risk measures.Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data.When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate.However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes.Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.",2020,12/1/2020,34,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta‐Eksten,United States Census Bureau; University of Chicago; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; Stanford University; University of Chicago; United States Census Bureau; Stanford University; National Bureau of Economic Research; Charles River Associates; Tel Aviv University; Charles River Associates; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University,Forecasting Techniques and Applications,,report,Brian T Lucking,https://openalex.org/A5008666080,Annual Survey of Manufactures; LEHD Employer Characteristics File (ECF) T26 Components - 2011,Annual Survey of Manufactures
Business-Level Expectations and Uncertainty,https://doi.org/10.2139/ssrn.3750384,"The Census Bureau's 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants.First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes.The first moment of the distribution provides a measure of business' expectations for future outcomes, while the second moment provides a measure of business' subjective uncertainty over those outcomes.This subjective uncertainty measure correlates positively with financial risk measures.Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data.When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate.However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes.Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.",2020,1/1/2020,4,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta Eksten,Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; National Bureau of Economic Research; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research,Monetary Policy and Economic Impact; Economic Policies and Impacts,SSRN Electronic Journal,article,Brian T Lucking,https://openalex.org/A5008666080,Annual Survey of Manufactures; LEHD Employer Characteristics File (ECF) T26 Components - 2011,Annual Survey of Manufactures
Business-Level Expectations and Uncertainty,https://doi.org/10.2139/ssrn.3808466,"The Census Bureau’s 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants. First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes. The first moment of the distribution provides a measure of business’ expectations for future outcomes, while the second moment provides a measure of business’ subjective uncertainty over those outcomes. This subjective uncertainty measure correlates positively with financial risk measures. Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data. When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate. However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes. Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2020,1/1/2020,1,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta‐Eksten,"National Bureau of Economic Research; Stanford University; National Bureau of Economic Research; Hoover Institution; University of Chicago; United States Census Bureau; Charles River Associates; University of Maryland, College Park; Tel Aviv University",Forecasting Techniques and Applications,SSRN Electronic Journal,article,Brian T Lucking,https://openalex.org/A5008666080,Annual Survey of Manufactures; LEHD Employer Characteristics File (ECF) T26 Components - 2011,Annual Survey of Manufactures
Business-Level Expectations and Uncertainty,https://doi.org/10.3386/w28259,"The Census Bureau's 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants.First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes.The first moment of the distribution provides a measure of business' expectations for future outcomes, while the second moment provides a measure of business' subjective uncertainty over those outcomes.This subjective uncertainty measure correlates positively with financial risk measures.Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data.When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate.However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes.Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.",2020,12/1/2020,34,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta‐Eksten,United States Census Bureau; University of Chicago; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; Stanford University; University of Chicago; United States Census Bureau; Stanford University; National Bureau of Economic Research; Charles River Associates; Tel Aviv University; Charles River Associates; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University; National Bureau of Economic Research; United States Census Bureau; University of Chicago; Charles River Associates; Tel Aviv University; Stanford University,Forecasting Techniques and Applications,,report,Brian T Lucking,https://openalex.org/A5008666080,Foreign Trade Data - Export; Census of Manufactures; Survey of Industrial Research and Development,Census of Manufactures
Business-Level Expectations and Uncertainty,https://doi.org/10.2139/ssrn.3750384,"The Census Bureau's 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants.First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes.The first moment of the distribution provides a measure of business' expectations for future outcomes, while the second moment provides a measure of business' subjective uncertainty over those outcomes.This subjective uncertainty measure correlates positively with financial risk measures.Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data.When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate.However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes.Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.",2020,1/1/2020,4,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta Eksten,Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; National Bureau of Economic Research; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research; Charles River Associates; University of Chicago; United States Census Bureau; Stanford University; Tel Aviv University; National Bureau of Economic Research,Monetary Policy and Economic Impact; Economic Policies and Impacts,SSRN Electronic Journal,article,Brian T Lucking,https://openalex.org/A5008666080,Foreign Trade Data - Export; Census of Manufactures; Survey of Industrial Research and Development,Census of Manufactures
Business-Level Expectations and Uncertainty,https://doi.org/10.2139/ssrn.3808466,"The Census Bureau’s 2015 Management and Organizational Practices Survey (MOPS) utilized innovative methodology to collect five-point forecast distributions over own future shipments, employment, and capital and materials expenditures for 35,000 U.S. manufacturing plants. First and second moments of these plant-level forecast distributions covary strongly with first and second moments, respectively, of historical outcomes. The first moment of the distribution provides a measure of business’ expectations for future outcomes, while the second moment provides a measure of business’ subjective uncertainty over those outcomes. This subjective uncertainty measure correlates positively with financial risk measures. Drawing on the Annual Survey of Manufactures and the Census of Manufactures for the corresponding realizations, we find that subjective expectations are highly predictive of actual outcomes and, in fact, more predictive than statistical models fit to historical data. When respondents express greater subjective uncertainty about future outcomes at their plants, their forecasts are less accurate. However, managers supply overly precise forecast distributions in that implied confidence intervals for sales growth rates are much narrower than the distribution of actual outcomes. Finally, we develop evidence that greater use of predictive computing and structured management practices at the plant and a more decentralized decision-making process (across plants in the same firm) are associated with better forecast accuracy.Institutional subscribers to the NBER working paper series, and residents of developing countries may download this paper without additional charge at www.nber.org.",2020,1/1/2020,1,Nicholas Bloom; Steven J. Davis; Lucia Foster; Brian Lucking; Scott Ohlmacher; Itay Saporta‐Eksten,"National Bureau of Economic Research; Stanford University; National Bureau of Economic Research; Hoover Institution; University of Chicago; United States Census Bureau; Charles River Associates; University of Maryland, College Park; Tel Aviv University",Forecasting Techniques and Applications,SSRN Electronic Journal,article,Brian T Lucking,https://openalex.org/A5008666080,Foreign Trade Data - Export; Census of Manufactures; Survey of Industrial Research and Development,Census of Manufactures
A Comparative Efficiency Analysis of Cooperative and Non-cooperative Dairy Manufacturing Firms,,"Due to differences in ownership structure between cooperative and non-cooperative firms (NCFs), it has been hypothesized that co-ops may be less efficient than their non-cooperative counterparts. Illiquidity of owners’ investment and democratic governance may lead to underinvestment and managerial shirking in cooperative firms, both technical inefficiency sources, and the lack of a clear profit motive generates “inefficient” (relative to a profit-maximizing firm) economic decisions. This is especially true in the dairy product manufacturing sector, where production is capital intensive and factors leading to non-optimal investment decisions may have a large impact on efficiency. In this research we will use a unique dataset that includes plant level panel data for dairy product manufacturers from the Census of Manufactures encompassing the years 1977-2007 to determine whether there is a difference in plant level efficiency between cooperative firms and NCFs, as well as the source of any measured inefficiency. We will employ Data Envelopment and Stochastic Frontier (SFA) analyses to ensure robustness of results across alternative methodologies for productivity measurement.",2013,1/1/2013,1,Christopher A. Kanter; Brent Hueth; Brian W. Gould,,Efficiency Analysis Using DEA; Cooperative Studies and Economics,RePEc: Research Papers in Economics,preprint,Brian W Gould,https://openalex.org/A5112034435,Census of Manufactures; Annual Survey of Manufactures,Census of Manufactures
A Comparative Efficiency Analysis of Cooperative and Non-cooperative Dairy Manufacturing Firms,https://doi.org/10.22004/ag.econ.150497,"Due to differences in ownership structure between cooperative and non-cooperative firms (NCFs), it has been hypothesized that co-ops may be less efficient than their non-cooperative counterparts. Illiquidity of owners’ investment and democratic governance may lead to underinvestment and managerial shirking in cooperative firms, both technical inefficiency sources, and the lack of a clear profit motive generates “inefficient” (relative to a profit-maximizing firm) economic decisions. This is especially true in the dairy product manufacturing sector, where production is capital intensive and factors leading to non-optimal investment decisions may have a large impact on efficiency. In this research we will use a unique dataset that includes plant level panel data for dairy product manufacturers from the Census of Manufactures encompassing the years 1977-2007 to determine whether there is a difference in plant level efficiency between cooperative firms and NCFs, as well as the source of any measured inefficiency. We will employ Data Envelopment and Stochastic Frontier (SFA) analyses to ensure robustness of results across alternative methodologies for productivity measurement.",2013,1/1/2013,0,Christopher A. Kanter; Brent Hueth; Brian W. Gould,University of Wisconsin–Madison; University of Wisconsin–Madison; University of Wisconsin–Madison,Efficiency Analysis Using DEA; Cooperative Studies and Economics; Agricultural Innovations and Practices,"2013 Annual Meeting, August 4-6, 2013, Washington, D.C.",article,Brian W Gould,https://openalex.org/A5112034435,Census of Manufactures; Annual Survey of Manufactures,Census of Manufactures
